gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,passed_course,assess_score_1,assess_score_2,assess_score_3,assess_score_4,assess_score_5
0,3,6,1,0,60,0,1,87,85,86,85,90
0,3,7,1,0,60,0,1,74,77,87,81,78
0,3,3,1,0,60,0,1,70,62,73,72,75
1,3,9,1,0,60,0,1,76,76,75,72,74
1,3,6,1,0,60,0,1,76,83,78,72,78
1,1,3,1,0,60,0,1,66,60,68,59,58
0,3,4,1,0,60,0,1,68,70,73,87,83
0,3,7,1,0,60,1,1,70,70,63,60,62
1,1,4,1,0,60,0,1,58,63,63,66,70
1,1,5,1,0,60,0,1,78,69,66,64,53
1,3,7,1,0,60,0,1,66,65,66,74,75
0,1,1,0,0,60,0,1,70,70,64,52,60
1,1,2,1,0,60,0,1,75,64,90,76,79
0,3,7,1,0,60,0,1,73,62,50,74,68
0,3,7,1,0,60,0,1,60,57,60,62,74
1,1,4,1,0,60,0,1,60,73,78,67,71
1,3,8,1,0,120,0,1,60,50,57,57,48
0,3,0,0,0,60,0,1,85,70,80,81,87
1,3,1,0,0,60,0,1,65,54,50,57,44
0,3,8,1,0,60,0,1,59,44,58,60,54
0,3,7,0,0,120,0,1,62,65,72,78,79
1,3,5,1,0,60,0,1,87,70,84,82,90
0,3,6,1,0,60,0,1,82,52,77,65,66
0,3,8,0,0,60,0,1,64,49,65,64,74
0,3,8,0,0,120,0,1,73,60,61,65,61
1,3,5,2,0,60,0,1,69,60,65,87,79
0,1,8,1,0,60,0,1,80,85,84,85,83
0,3,2,1,0,60,0,1,74,82,75,77,80
1,1,5,1,0,60,0,1,65,50,67,65,77
0,1,9,1,1,60,0,1,69,74,72,69,74
1,2,9,2,0,60,0,1,76,73,74,86,85
0,1,2,0,0,120,0,1,59,60,100,63,100
1,1,0,0,2,120,1,0,73,67,100,55,60
1,1,6,0,0,120,0,0,60,55,100,70,100
1,3,3,1,0,60,0,1,88,80,100,85,80
0,3,0,1,2,120,0,1,73,83,100,100,72
0,3,5,0,0,60,0,1,64,40,100,59,80
0,1,5,0,0,120,0,1,78,70,80,75,80
0,1,0,0,0,60,1,0,61,35,80,35,60
0,1,5,1,0,60,0,0,73,64,100,100,63
0,3,2,0,0,60,0,0,75,75,100,64,100
0,2,7,1,0,240,0,1,81,78,80,50,100
0,1,4,0,0,90,0,1,90,91,100,92,100
0,1,6,1,0,60,0,1,65,60,80,50,80
0,1,2,0,0,180,0,1,73,65,80,54,80
0,1,5,0,0,60,0,1,68,84,100,63,100
0,2,1,1,0,60,0,1,77,75,60,100,76
1,3,5,0,0,120,0,1,82,77,100,90,60
0,3,6,1,0,60,0,1,87,85,100,69,100
0,2,5,1,0,60,0,0,87,76,80,58,80
1,3,3,1,0,75,0,1,81,75,100,74,100
0,3,4,1,0,60,0,1,78,74,69,100,70
0,1,6,0,0,60,0,0,67,45,100,40,80
0,3,2,0,0,60,0,1,62,68,100,61,100
0,2,1,1,0,120,0,1,70,85,100,80,80
0,1,1,0,3,135,0,1,63,65,100,100,71
0,1,8,0,1,60,0,0,70,65,80,77,100
0,3,2,0,0,60,0,1,85,75,100,77,100
0,2,3,1,0,60,0,1,74,73,80,73,80
0,1,9,1,0,120,0,1,87,90,100,97,100
0,1,3,1,0,120,1,1,87,83,80,77,100
0,3,7,0,0,60,0,1,73,92,100,73,100
0,2,6,0,0,120,0,1,87,81,80,85,100
0,3,4,0,0,60,0,1,75,59,100,64,100
0,2,2,1,0,60,0,1,83,76,100,79,100
0,1,3,1,0,70,1,0,70,100,100,100,60
0,3,7,1,0,60,1,1,60,75,100,77,60
0,3,1,1,1,60,0,1,65,80,100,78,86
0,2,5,1,0,60,0,1,87,85,100,90,100
0,1,0,1,0,70,0,0,74,61,100,65,100
0,1,3,1,0,60,0,0,70,71,100,68,100
0,3,5,0,0,120,1,1,74,70,100,75,100
1,3,2,0,0,60,0,1,77,82,100,78,100
1,3,3,0,0,60,0,0,84,58,100,100,58
0,3,9,0,0,60,1,1,86,81,100,74,100
0,1,4,0,1,60,0,0,67,10,100,56,40
0,1,1,1,0,60,0,1,73,68,100,56,100
0,1,4,1,1,120,0,1,90,73,100,100,73
0,1,0,0,1,120,0,0,83,84,100,74,100
0,1,7,0,0,60,0,1,76,81,80,50,80
0,3,5,0,0,60,0,0,79,80,100,80,100
0,2,5,0,0,60,0,1,83,75,80,76,100
0,3,4,1,0,60,0,1,80,83,80,80,100
1,3,5,1,0,60,0,1,80,68,100,60,80
0,3,1,0,0,60,0,0,60,46,100,44,60
0,1,4,0,1,60,0,0,73,60,100,71,100
0,1,0,1,2,120,0,1,71,75,80,70,100
0,1,3,1,2,60,0,1,79,82,100,78,80
0,2,4,1,1,60,0,0,60,81,40,73,80
0,1,0,0,2,60,0,0,53,30,100,56,100
0,1,1,1,1,120,1,0,50,67,80,58,80
1,1,5,0,0,120,0,1,87,95,100,93,100
1,3,7,1,0,120,0,1,80,78,100,73,100
0,1,1,1,0,60,1,1,70,77,100,80,100
0,2,3,1,0,60,0,1,75,75,80,72,100
1,1,5,1,0,60,0,1,89,95,100,87,100
0,2,4,0,0,60,0,1,75,74,100,83,80
0,2,0,0,1,60,0,0,66,50,100,66,80
0,3,6,0,1,120,0,0,85,61,100,72,100
0,1,7,0,0,60,0,1,79,75,100,63,60
0,3,0,0,0,120,0,1,78,64,100,75,80
1,3,7,1,0,60,0,0,78,72,100,62,100
0,3,4,0,0,60,0,1,81,83,100,82,80
0,3,9,0,0,60,0,1,69,62,100,60,60
0,1,2,0,0,60,0,1,75,85,100,90,100
0,1,8,0,0,60,0,1,75,72,100,68,100
0,1,4,0,1,60,1,0,61,72,80,80,60
1,3,0,0,0,60,0,0,45,69,100,81,100
0,3,2,0,1,60,0,0,88,81,100,73,60
1,1,7,0,0,60,0,0,85,84,80,80,88
0,3,5,0,0,60,0,1,77,78,100,78,80
0,3,2,1,0,60,0,1,59,73,80,71,100
0,1,1,0,0,60,0,1,82,83,100,85,100
0,3,8,0,2,120,1,0,78,78,80,74,100
0,3,5,1,0,120,0,0,75,70,100,65,100
0,1,9,0,0,60,0,1,80,90,100,90,100
0,1,5,1,2,60,0,1,49,54,60,41,0
0,3,4,0,1,120,1,0,70,63,100,61,100
0,3,4,0,0,60,0,1,84,74,60,71,80
0,1,4,1,0,325,0,1,73,58,100,59,60
0,1,1,0,2,120,0,0,80,82,80,80,60
0,3,0,0,1,120,0,1,80,82,100,80,73
0,3,2,0,1,60,0,1,85,65,80,70,100
0,1,8,1,3,60,0,1,62,80,100,73,100
0,1,3,1,0,120,0,1,80,76,100,84,80
0,3,4,0,0,60,0,1,80,72,100,77,100
0,3,6,0,0,120,0,1,90,78,100,88,100
0,2,3,0,1,60,1,1,73,81,60,40,74
0,3,6,0,0,60,0,1,82,87,100,81,100
0,1,1,0,0,60,0,1,60,62,100,67,100
0,3,7,0,0,120,0,1,71,72,100,66,80
0,2,2,0,1,120,1,0,61,53,100,57,80
0,2,5,1,0,90,0,1,83,55,80,84,100
0,3,8,0,0,120,0,1,74,68,100,90,100
0,1,1,1,0,120,0,1,61,65,80,70,60
0,1,3,0,0,90,0,1,71,70,100,75,80
0,1,8,0,0,60,0,0,71,77,100,70,100
0,3,1,0,2,300,0,1,65,85,80,100,80
0,3,1,0,1,60,0,1,88,80,100,70,100
0,2,3,1,1,120,0,1,67,67,100,45,100
0,3,7,0,2,130,0,1,73,71,100,79,100
0,1,9,0,0,150,0,1,65,64,100,64,100
0,1,4,0,0,60,0,1,60,59,100,60,100
1,1,9,1,3,195,0,1,65,76,100,66,60
0,1,0,0,2,60,0,1,71,100,69,80,80
0,3,4,1,1,60,0,1,80,81,100,72,100
0,3,3,1,0,60,0,1,73,80,100,81,100
0,3,2,0,0,150,0,1,85,76,80,91,100
0,4,9,1,0,120,0,1,82,83,100,84,100
0,1,6,1,0,60,0,0,75,65,100,100,85
0,3,7,0,0,180,0,1,73,65,100,60,61
0,1,0,0,0,60,0,1,65,60,100,61,80
1,2,2,0,0,120,0,1,75,77,100,73,100
0,1,8,0,2,60,0,0,50,59,100,62,100
1,3,8,0,0,60,0,1,85,85,100,80,100
0,3,2,0,0,60,0,1,75,69,100,82,80
0,3,2,1,0,120,0,1,80,71,100,91,80
0,1,4,0,1,90,0,0,75,66,100,71,80
0,3,4,0,0,240,0,0,51,65,80,81,60
0,3,3,0,0,90,0,0,65,69,100,63,80
0,1,4,0,1,120,0,1,67,67,100,68,80
0,3,4,0,0,60,0,1,85,93,100,70,100
0,2,0,0,0,60,0,0,86,78,100,100,72
1,3,3,1,0,60,0,0,75,70,100,100,79
1,2,6,0,0,60,0,0,83,48,100,53,100
0,3,4,0,0,180,1,1,65,63,100,42,80
0,1,2,0,0,60,0,0,84,80,100,100,87
1,1,4,1,1,60,0,0,78,73,85,80,84
0,2,1,0,0,120,0,1,75,80,100,69,80
0,1,4,0,2,60,0,1,68,64,100,66,100
0,1,7,1,0,60,0,1,73,75,100,97,100
0,1,5,0,0,60,0,0,83,53,100,65,80
0,3,1,0,0,90,0,0,59,34,80,47,100
0,1,5,0,0,120,0,1,93,86,100,90,80
0,3,0,0,0,240,1,0,80,80,100,79,80
1,2,5,0,1,120,0,1,82,84,100,84,100
1,3,5,0,1,60,0,1,80,83,100,72,100
0,3,1,0,0,180,0,0,43,55,60,56,60
1,1,4,1,1,120,0,0,39,53,100,20,100
0,1,3,0,0,240,0,1,75,60,100,70,100
1,3,7,1,1,180,0,1,80,83,100,85,80
0,1,6,1,0,60,1,1,69,68,100,71,100
0,3,9,0,0,60,0,1,80,81,100,80,100
0,3,1,0,2,60,0,0,60,59,52,33,40
1,1,0,1,0,60,0,1,85,85,100,86,100
1,1,7,1,0,60,0,0,40,78,80,40,100
0,1,0,0,1,120,0,0,69,59,100,56,80
0,1,7,0,2,120,0,1,95,91,100,80,100
0,1,0,0,0,60,1,0,77,70,80,62,80
0,2,8,1,1,120,0,1,75,80,100,90,100
1,1,3,1,0,60,0,1,68,75,100,76,60
0,3,2,1,1,120,1,1,85,89,80,83,79
1,1,0,1,0,150,0,1,55,57,100,63,100
0,3,8,1,0,120,0,1,90,87,100,71,100
1,2,9,0,0,120,0,1,83,79,100,60,100
1,2,8,0,0,60,0,0,48,63,100,80,100
0,3,6,1,0,120,0,0,60,62,100,58,80
1,1,2,1,1,120,1,1,78,78,100,100,87
0,3,1,0,0,120,0,0,62,40,49,80,80
0,3,3,0,0,60,0,0,68,61,100,63,100
0,1,1,1,0,60,0,0,74,70,80,70,100
1,3,1,0,0,120,0,1,87,83,100,87,60
0,1,6,0,3,120,0,1,76,70,100,66,80
0,3,9,0,0,60,1,1,83,76,80,80,86
0,2,7,1,0,90,0,0,55,54,80,56,60
0,1,8,0,1,120,0,1,65,70,80,70,100
0,3,1,0,0,120,0,0,85,70,100,60,70
0,2,2,1,1,120,0,1,66,77,60,89,100
0,3,9,0,2,120,1,0,71,65,100,76,100
0,1,2,0,0,120,0,1,75,71,100,73,80
0,1,1,0,0,60,0,1,85,73,60,94,80
0,3,4,0,1,60,0,0,55,73,100,100,60
0,3,5,0,1,60,0,1,85,65,100,74,80
0,3,8,1,0,120,0,1,84,87,100,84,100
0,3,3,0,1,120,0,1,85,62,100,80,83
0,3,3,0,0,120,0,1,92,90,100,100,95
0,3,2,0,0,60,0,1,85,85,100,90,100
0,1,4,0,0,60,1,1,57,48,60,54,80
0,3,3,0,0,60,0,1,87,77,100,79,100
0,1,7,0,1,60,0,0,58,67,40,73,100
1,1,7,0,1,120,0,1,81,84,100,85,80
0,3,3,0,2,120,0,1,77,77,100,78,100
1,0,3,1,0,60,0,0,61,72,0,40,100
1,3,1,0,0,120,0,0,81,78,100,88,100
0,1,1,1,0,60,1,1,65,55,100,93,100
0,1,6,0,0,60,0,1,70,86,100,72,100
0,1,8,1,0,120,0,1,72,70,100,80,68
1,3,3,0,1,60,0,1,77,74,100,73,100
1,3,2,0,1,60,0,1,80,76,100,80,80
0,1,3,0,1,60,0,1,70,75,100,76,100
0,3,8,0,1,60,0,1,85,89,100,88,100
0,3,6,1,0,60,0,1,70,76,100,75,100
0,1,4,0,1,180,0,1,86,80,100,100,70
0,3,7,0,2,120,0,1,70,74,100,80,100
0,3,5,1,0,60,0,1,72,61,100,79,100
0,1,0,0,0,60,0,1,75,76,100,76,80
0,3,6,1,2,120,0,0,80,75,100,79,80
0,1,7,0,0,180,0,0,42,36,100,41,100
0,3,0,0,0,90,0,1,80,80,100,78,100
0,3,6,1,0,60,0,1,79,82,80,83,100
1,1,0,1,0,120,0,0,77,68,66,57,80
0,3,6,0,0,60,0,1,81,73,100,69,100
0,3,8,0,1,60,0,1,87,60,100,82,80
0,1,1,0,0,60,0,1,84,83,80,85,100
0,2,2,1,0,120,0,1,65,67,80,74,100
1,1,0,1,0,120,1,1,65,63,100,73,80
0,3,8,0,0,120,0,1,74,65,100,60,80
0,1,1,1,0,60,0,1,83,83,80,76,80
0,3,0,0,2,120,0,0,51,52,100,35,60
0,1,1,0,1,120,0,0,60,68,100,70,60
0,2,8,0,0,60,0,1,63,13,100,41,100
1,3,0,0,1,240,0,1,72,60,100,59,80
0,3,9,0,0,180,0,1,75,83,100,76,100
1,3,5,0,1,180,0,1,90,72,100,71,100
0,1,5,1,0,60,0,0,73,63,40,65,69
0,3,5,0,2,120,0,1,85,93,100,66,100
0,2,9,1,1,60,0,1,80,79,100,83,80
0,2,2,0,1,270,0,1,67,65,80,65,100
0,1,1,1,0,60,0,1,82,85,100,76,100
0,1,6,0,0,60,0,1,80,79,78,80,83
0,1,1,0,1,60,0,1,72,70,80,63,80
0,3,2,0,0,60,0,1,75,70,100,71,100
1,3,7,0,0,120,0,1,75,73,100,72,100
0,1,1,0,2,120,0,1,63,70,80,76,100
0,2,3,0,0,120,0,1,74,61,100,80,100
0,2,2,0,0,120,0,1,48,42,100,53,60
0,3,4,0,0,60,0,1,97,87,100,94,100
0,1,4,1,1,60,0,1,80,63,100,69,100
0,3,1,0,1,120,0,1,83,80,100,75,100
1,2,2,1,1,60,0,0,40,38,46,20,43
